Water 💧 + Water 💧 = Lake 🌊
Mountain 🏔️ + Dust Storm 🌪️ = Sand 🏖️
Mountain 🏔️ + Mountain Range 🏔️ = Mountain Range 🏔️
Ocean 🌊 + Ocean 🌊 = Sea 🌊
Ocean 🌊 + Cloud ☁️ = Rain 🌧️
Ocean 🌊 + Tsunami 🌊 = Tsunami 🌊
Ocean 🌊 + Swamp 🐊 = Marsh 🌿
Ocean 🌊 + Fog 🌫️ = Fish 🐟
Ocean 🌊 + Stone 🪨 = Island 🏝️
Ocean 🌊 + Mud 💩 = Beach 🏖️
Ocean 🌊 + Engine 🚗 = Submarine 🚤
Ocean 🌊 + Ash 🌋 = Salt 🧂
Ocean 🌊 + Storm ⛈️ = Tsunami 🌊
Ocean 🌊 + Dandelion 🌼 = Seaweed 🌊
Ocean 🌊 + Eruption 🌋 = Island 🏝️
Ocean 🌊 + Sandstorm 🌪️ = Tsunami 🌊
Ocean 🌊 + Avalanche 🌨️ = Tsunami 🌊
Ocean 🌊 + Sand 🏖️ = Beach 🏖️
Ocean 🌊 + Tree 🌳 = Coral 🐠
Ocean 🌊 + Planet 🪐 = Earth 🌎
Ocean 🌊 + Lily 🌸 = Mermaid 🧜‍♀️
Ocean 🌊 + Island 🏝️ = Atlantis 🌊
Ocean 🌊 + Fjord 🏞️ = Whale 🐳
Ocean 🌊 + Surf 🏄 = Surfer 🏄
Ocean 🌊 + Tea 🍵 = Sea 🌊
Ocean 🌊 + Seaweed 🌊 = Kelp 🌿
Ocean 🌊 + Incense 🕯️ = Sea 🌊
Ocean 🌊 + Pollen 🌱 = Coral 🐠
Ocean 🌊 + Hurricane 🌀 = Tsunami 🌊
Ocean 🌊 + Dust Storm 🌪️ = Tsunami 🌊
Ocean 🌊 + Mountain Range 🏔️ = Beach 🏖️
Cloud ☁️ + Cloud ☁️ = Rain 🌧️
Cloud ☁️ + Tsunami 🌊 = Rainbow 🌈
Cloud ☁️ + Swamp 🐊 = Fog 🌫️
Cloud ☁️ + Fog 🌫️ = Rain 🌧️
Cloud ☁️ + Stone 🪨 = Rain 🌧️
Cloud ☁️ + Mud 💩 = Volcano 🌋
Cloud ☁️ + Engine 🚗 = Jet ✈️
Cloud ☁️ + Ash 🌋 = Smoke 💨
Cloud ☁️ + Storm ⛈️ = Rain 🌧️
Cloud ☁️ + Dandelion 🌼 = Rain 🌧️
Cloud ☁️ + Eruption 🌋 = Volcano 🌋
Cloud ☁️ + Sandstorm 🌪️ = Dust 🌫️
Cloud ☁️ + Avalanche 🌨️ = Snow ❄️
Cloud ☁️ + Sand 🏖️ = Rain 🌧️
Cloud ☁️ + Tree 🌳 = Rain 🌧️
Cloud ☁️ + Planet 🪐 = Sky 🌌
Cloud ☁️ + Lily 🌸 = Angel 👼
Cloud ☁️ + Island 🏝️ = Sky 🌌
Cloud ☁️ + Fjord 🏞️ = Rainbow 🌈
Cloud ☁️ + Surf 🏄 = Surfing 🏄
Cloud ☁️ + Tea 🍵 = Rain 🌧️
Cloud ☁️ + Seaweed 🌊 = Sushi 🍣
Cloud ☁️ + Incense 🕯️ = Smoke 💨
Cloud ☁️ + Pollen 🌱 = Rain 🌧️
Cloud ☁️ + Hurricane 🌀 = Tornado 🌪️
Cloud ☁️ + Dust Storm 🌪️ = Tornado 🌪️
Cloud ☁️ + Mountain Range 🏔️ = Rain 🌧️
Tsunami 🌊 + Tsunami 🌊 = Tsunami 🌊
Tsunami 🌊 + Swamp 🐊 = Swamp 🐊
Tsunami 🌊 + Fog 🌫️ = Mist 🌫️
Tsunami 🌊 + Stone 🪨 = Tsunami 🌊
Tsunami 🌊 + Mud 💩 = Mudslide 🌋
Tsunami 🌊 + Engine 🚗 = Tsunami 🌊
Tsunami 🌊 + Ash 🌋 = Volcano 🌋
Tsunami 🌊 + Storm ⛈️ = Tornado 🌪️
Tsunami 🌊 + Dandelion 🌼 = Wish 🌠
Tsunami 🌊 + Eruption 🌋 = Volcano 🌋
Tsunami 🌊 + Sandstorm 🌪️ = Tornado 🌪️
Tsunami 🌊 + Avalanche 🌨️ = Disaster 🌪️
Tsunami 🌊 + Sand 🏖️ = Beach 🏖️
Tsunami 🌊 + Tree 🌳 = Forest 🌲
Tsunami 🌊 + Planet 🪐 = Earthquake 🌋
Tsunami 🌊 + Lily 🌸 = Tsunami 🌊
Tsunami 🌊 + Island 🏝️ = Atlantis 🌊
Tsunami 🌊 + Fjord 🏞️ = Tsunami 🌊
Tsunami 🌊 + Surf 🏄 = Surfer 🏄
Tsunami 🌊 + Tea 🍵 = Nothing 
Tsunami 🌊 + Seaweed 🌊 = Sushi 🍣
Tsunami 🌊 + Incense 🕯️ = Poseidon 🌊
Tsunami 🌊 + Pollen 🌱 = Honey 🍯
Tsunami 🌊 + Hurricane 🌀 = Disaster 🌪️
Tsunami 🌊 + Dust Storm 🌪️ = Sandstorm 🌪️
Tsunami 🌊 + Mountain Range 🏔️ = Tsunami 🌊
Swamp 🐊 + Swamp 🐊 = Bog 💩
Swamp 🐊 + Fog 🌫️ = Ghost 👻
Swamp 🐊 + Stone 🪨 = Statue 🗽
Swamp 🐊 + Mud 💩 = Quagmire 💩
Swamp 🐊 + Engine 🚗 = Train 🚂
Swamp 🐊 + Ash 🌋 = Mud 💩
Swamp 🐊 + Storm ⛈️ = Bog 💩
Swamp 🐊 + Dandelion 🌼 = Frog 🐸
Swamp 🐊 + Eruption 🌋 = Volcano 🌋
Swamp 🐊 + Sandstorm 🌪️ = Oasis 🏜️
Swamp 🐊 + Avalanche 🌨️ = Mudslide 🌋
Swamp 🐊 + Sand 🏖️ = Desert 🏜️
Swamp 🐊 + Tree 🌳 = Mangrove 🌱
Swamp 🐊 + Planet 🪐 = Earth 🌎
Swamp 🐊 + Lily 🌸 = Lotus 🌺
Swamp 🐊 + Island 🏝️ = Loch Ness 🐊
Swamp 🐊 + Fjord 🏞️ = Bog 💩
Swamp 🐊 + Surf 🏄 = Lagoon 🌊
Swamp 🐊 + Tea 🍵 = Nothing 
Swamp 🐊 + Seaweed 🌊 = Sushi 🍣
Swamp 🐊 + Incense 🕯️ = Mosquito 🦟
Swamp 🐊 + Pollen 🌱 = Allergy 🤧
Swamp 🐊 + Hurricane 🌀 = Alligator 🐊
Swamp 🐊 + Dust Storm 🌪️ = Mud 💩
Swamp 🐊 + Mountain Range 🏔️ = Volcano 🌋
Fog 🌫️ + Fog 🌫️ = Cloud ☁️
Fog 🌫️ + Stone 🪨 = Statue 🗽
Fog 🌫️ + Mud 💩 = Swamp 🐊
Fog 🌫️ + Engine 🚗 = Steam 💨
Fog 🌫️ + Ash 🌋 = Smoke 💨
Fog 🌫️ + Storm ⛈️ = Rain 🌧️
Fog 🌫️ + Dandelion 🌼 = Fairy 🧚
Fog 🌫️ + Eruption 🌋 = Volcano 🌋
Fog 🌫️ + Sandstorm 🌪️ = Dust Storm 🌪️
Fog 🌫️ + Avalanche 🌨️ = Snow ❄️
Fog 🌫️ + Sand 🏖️ = Desert 🏜️
Fog 🌫️ + Tree 🌳 = Ghost 👻
Fog 🌫️ + Planet 🪐 = Venus ♀️
Fog 🌫️ + Lily 🌸 = Flower 🌸
Fog 🌫️ + Island 🏝️ = Ghost 👻
Fog 🌫️ + Fjord 🏞️ = Mist 🌫️
Fog 🌫️ + Surf 🏄 = Surfer 🏄
Fog 🌫️ + Tea 🍵 = Tea 🍵
Fog 🌫️ + Seaweed 🌊 = Kelp 🌿
Fog 🌫️ + Incense 🕯️ = Smoke 💨
Fog 🌫️ + Pollen 🌱 = Allergy 🤧
Fog 🌫️ + Hurricane 🌀 = Storm ⛈️
Fog 🌫️ + Dust Storm 🌪️ = Sandstorm 🌪️
Fog 🌫️ + Mountain Range 🏔️ = Cloud ☁️
Stone 🪨 + Stone 🪨 = Boulder 🪨
Stone 🪨 + Mud 💩 = Clay 🏺
Stone 🪨 + Engine 🚗 = Steamroller 🚂
Stone 🪨 + Ash 🌋 = Statue 🗽
Stone 🪨 + Storm ⛈️ = Meteor 💫
Stone 🪨 + Dandelion 🌼 = Wish 🌠
Stone 🪨 + Eruption 🌋 = Volcano 🌋
Stone 🪨 + Sandstorm 🌪️ = Sphinx 🐫
Stone 🪨 + Avalanche 🌨️ = Rock 🪨
Stone 🪨 + Sand 🏖️ = Pyramid 🗿
Stone 🪨 + Tree 🌳 = Rock 🪨
Stone 🪨 + Planet 🪐 = Meteor 💫
Stone 🪨 + Lily 🌸 = Venus ♀️
Stone 🪨 + Island 🏝️ = Statue 🗽
Stone 🪨 + Fjord 🏞️ = Troll 👹
Stone 🪨 + Surf 🏄 = Rock 🪨
Stone 🪨 + Tea 🍵 = Rock 🪨
Stone 🪨 + Seaweed 🌊 = Coral 🐠
Stone 🪨 + Incense 🕯️ = Buddha 🧘‍♂️
Stone 🪨 + Pollen 🌱 = Amber 🌾
Stone 🪨 + Hurricane 🌀 = Statue 🗽
Stone 🪨 + Dust Storm 🌪️ = Sphinx 🐫
Stone 🪨 + Mountain Range 🏔️ = Rock 🪨
Mud 💩 + Mud 💩 = Clay 🏺
Mud 💩 + Engine 🚗 = Tractor 🚜
Mud 💩 + Ash 🌋 = Clay 🏺
Mud 💩 + Storm ⛈️ = Mudslide 🌋
Mud 💩 + Dandelion 🌼 = Puddle 💦
Mud 💩 + Eruption 🌋 = Clay 🏺
Mud 💩 + Sandstorm 🌪️ = Dust 🌫️
Mud 💩 + Avalanche 🌨️ = Mudslide 🌋
Mud 💩 + Sand 🏖️ = Beach 🏖️
Mud 💩 + Tree 🌳 = Swamp 🐊
Mud 💩 + Planet 🪐 = Earth 🌎
Mud 💩 + Lily 🌸 = Lotus 🌺
Mud 💩 + Island 🏝️ = Swamp 🐊
Mud 💩 + Fjord 🏞️ = Swamp 🐊
Mud 💩 + Surf 🏄 = Beach 🏖️
Mud 💩 + Tea 🍵 = Nothing 
Mud 💩 + Seaweed 🌊 = Mudweed 🌿
Mud 💩 + Incense 🕯️ = Perfume 👃
Mud 💩 + Pollen 🌱 = Lotus 🌺
Mud 💩 + Hurricane 🌀 = Mudslide 🌋
Mud 💩 + Dust Storm 🌪️ = Sand 🏖️
Mud 💩 + Mountain Range 🏔️ = Volcano 🌋
Engine 🚗 + Engine 🚗 = Rocket 🚀
Engine 🚗 + Ash 🌋 = Steam 💨
Engine 🚗 + Storm ⛈️ = Tornado 🌪️
Engine 🚗 + Dandelion 🌼 = Helicopter 🚁
Engine 🚗 + Eruption 🌋 = Volcano 🌋
Engine 🚗 + Sandstorm 🌪️ = Sand 🏖️
Engine 🚗 + Avalanche 🌨️ = Snowmobile 🏂
Engine 🚗 + Sand 🏖️ = Sandbox 🏖️
Engine 🚗 + Tree 🌳 = Wood 🌲
Engine 🚗 + Planet 🪐 = Saturn 🪐
Engine 🚗 + Lily 🌸 = Steamboat 🛳️
Engine 🚗 + Island 🏝️ = Train 🚂
Engine 🚗 + Fjord 🏞️ = Submarine 🚤
Engine 🚗 + Surf 🏄 = Wave 🌊
Engine 🚗 + Tea 🍵 = Teapot 🍵
Engine 🚗 + Seaweed 🌊 = Submarine 🚤
Engine 🚗 + Incense 🕯️ = Steam 💨
Engine 🚗 + Pollen 🌱 = Bee 🐝
Engine 🚗 + Hurricane 🌀 = Tornado 🌪️
Engine 🚗 + Dust Storm 🌪️ = Sandstorm 🌪️
Engine 🚗 + Mountain Range 🏔️ = Train 🚂
Ash 🌋 + Ash 🌋 = Stone 🪨
Ash 🌋 + Storm ⛈️ = Dust 🌫️
Ash 🌋 + Dandelion 🌼 = Wish 🌠
Ash 🌋 + Eruption 🌋 = Volcano 🌋
Ash 🌋 + Sandstorm 🌪️ = Dust 🌫️
Ash 🌋 + Avalanche 🌨️ = Snow ❄️
Ash 🌋 + Sand 🏖️ = Glass 🥃
Ash 🌋 + Tree 🌳 = Pencil ✏️
Ash 🌋 + Planet 🪐 = Volcano 🌋
Ash 🌋 + Lily 🌸 = Phoenix 🔥
Ash 🌋 + Island 🏝️ = Volcano 🌋
Ash 🌋 + Fjord 🏞️ = Phoenix 🔥
Ash 🌋 + Surf 🏄 = Surfboard 🏄
Ash 🌋 + Tea 🍵 = Matcha 🍵
Ash 🌋 + Seaweed 🌊 = Kelp 🌿
Ash 🌋 + Incense 🕯️ = Smoke 💨
Ash 🌋 + Pollen 🌱 = Cough 🤧
Ash 🌋 + Hurricane 🌀 = Volcano 🌋
Ash 🌋 + Dust Storm 🌪️ = Sandstorm 🌪️
Ash 🌋 + Mountain Range 🏔️ = Volcano 🌋
Storm ⛈️ + Storm ⛈️ = Tornado 🌪️
Storm ⛈️ + Dandelion 🌼 = Seed 🌱
Storm ⛈️ + Eruption 🌋 = Volcano 🌋
Storm ⛈️ + Sandstorm 🌪️ = Dust Storm 🌪️
Storm ⛈️ + Avalanche 🌨️ = Snow ❄️
Storm ⛈️ + Sand 🏖️ = Dune 🌵
Storm ⛈️ + Tree 🌳 = Lightning ⚡️
Storm ⛈️ + Planet 🪐 = Hurricane 🌀
Storm ⛈️ + Lily 🌸 = Tornado 🌪️
Storm ⛈️ + Island 🏝️ = Shipwreck 🚢
Storm ⛈️ + Fjord 🏞️ = Tsunami 🌊
Storm ⛈️ + Surf 🏄 = Surfer 🏄
Storm ⛈️ + Tea 🍵 = Tempest 🌪️
Storm ⛈️ + Seaweed 🌊 = Tsunami 🌊
Storm ⛈️ + Incense 🕯️ = Rain 🌧️
Storm ⛈️ + Pollen 🌱 = Allergy 🤧
Storm ⛈️ + Hurricane 🌀 = Tornado 🌪️
Storm ⛈️ + Dust Storm 🌪️ = Tornado 🌪️
Storm ⛈️ + Mountain Range 🏔️ = Avalanche 🌨️
Dandelion 🌼 + Dandelion 🌼 = Dandelion Patch 🌼
Dandelion 🌼 + Eruption 🌋 = Volcano 🌋
Dandelion 🌼 + Sandstorm 🌪️ = Dust 🌫️
Dandelion 🌼 + Avalanche 🌨️ = Snow ❄️
Dandelion 🌼 + Sand 🏖️ = Sandcastle 🏖️
Dandelion 🌼 + Tree 🌳 = Wish 🌠
Dandelion 🌼 + Planet 🪐 = Sun ☀️
Dandelion 🌼 + Lily 🌸 = Flower 🌸
Dandelion 🌼 + Island 🏝️ = Nothing 
Dandelion 🌼 + Fjord 🏞️ = Viking 🛡️
Dandelion 🌼 + Surf 🏄 = Surfboard 🏄
Dandelion 🌼 + Tea 🍵 = Wine 🍷
Dandelion 🌼 + Seaweed 🌊 = Kelp 🌿
Dandelion 🌼 + Incense 🕯️ = Wish 🌠
Dandelion 🌼 + Pollen 🌱 = Allergy 🤧
Dandelion 🌼 + Hurricane 🌀 = Seed 🌱
Dandelion 🌼 + Dust Storm 🌪️ = Dust Bunny 🐰
Dandelion 🌼 + Mountain Range 🏔️ = Yellowstone 🌋
Eruption 🌋 + Eruption 🌋 = Volcano 🌋
Eruption 🌋 + Sandstorm 🌪️ = Volcano 🌋
Eruption 🌋 + Avalanche 🌨️ = Volcano 🌋
Eruption 🌋 + Sand 🏖️ = Glass 🥃
Eruption 🌋 + Tree 🌳 = Volcano 🌋
Eruption 🌋 + Planet 🪐 = Mars 🪐
Eruption 🌋 + Lily 🌸 = Volcano 🌋
Eruption 🌋 + Island 🏝️ = Volcano 🌋
Eruption 🌋 + Fjord 🏞️ = Geysir 🌋
Eruption 🌋 + Surf 🏄 = Tsunami 🌊
Eruption 🌋 + Tea 🍵 = Volcano 🌋
Eruption 🌋 + Seaweed 🌊 = Kelp 🌿
Eruption 🌋 + Incense 🕯️ = Volcano 🌋
Eruption 🌋 + Pollen 🌱 = Volcano 🌋
Eruption 🌋 + Hurricane 🌀 = Volcano 🌋
Eruption 🌋 + Dust Storm 🌪️ = Volcano 🌋
Eruption 🌋 + Mountain Range 🏔️ = Volcano 🌋
Sandstorm 🌪️ + Sandstorm 🌪️ = Dust Storm 🌪️
Sandstorm 🌪️ + Avalanche 🌨️ = Snowstorm ❄️
Sandstorm 🌪️ + Sand 🏖️ = Desert 🏜️
Sandstorm 🌪️ + Tree 🌳 = Palm Tree 🌴
Sandstorm 🌪️ + Planet 🪐 = Mars 🪐
Sandstorm 🌪️ + Lily 🌸 = Dust 🌫️
Sandstorm 🌪️ + Island 🏝️ = Desert 🏜️
Sandstorm 🌪️ + Fjord 🏞️ = Tsunami 🌊
Sandstorm 🌪️ + Surf 🏄 = Tsunami 🌊
Sandstorm 🌪️ + Tea 🍵 = Dust 🌫️
Sandstorm 🌪️ + Seaweed 🌊 = Tsunami 🌊
Sandstorm 🌪️ + Incense 🕯️ = Genie 🧞‍♂️
Sandstorm 🌪️ + Pollen 🌱 = Dust 🌫️
Sandstorm 🌪️ + Hurricane 🌀 = Tornado 🌪️
Sandstorm 🌪️ + Dust Storm 🌪️ = Dust Bowl 🌪️
Sandstorm 🌪️ + Mountain Range 🏔️ = Dune 🌵
Avalanche 🌨️ + Avalanche 🌨️ = Snow ❄️
Avalanche 🌨️ + Sand 🏖️ = Snow ❄️
Avalanche 🌨️ + Tree 🌳 = Wood 🌲
Avalanche 🌨️ + Planet 🪐 = Snowball ❄️
Avalanche 🌨️ + Lily 🌸 = Snowflake ❄️
Avalanche 🌨️ + Island 🏝️ = Iceberg 🌊
Avalanche 🌨️ + Fjord 🏞️ = Tsunami 🌊
Avalanche 🌨️ + Surf 🏄 = Tsunami 🌊
Avalanche 🌨️ + Tea 🍵 = Snow ❄️
Avalanche 🌨️ + Seaweed 🌊 = Snowman ☃️
Avalanche 🌨️ + Incense 🕯️ = Snowman ☃️
Avalanche 🌨️ + Pollen 🌱 = Snowflake ❄️
Avalanche 🌨️ + Hurricane 🌀 = Tsunami 🌊
Avalanche 🌨️ + Dust Storm 🌪️ = Snow ❄️
Avalanche 🌨️ + Mountain Range 🏔️ = Rock 🪨
Sand 🏖️ + Sand 🏖️ = Desert 🏜️
Sand 🏖️ + Tree 🌳 = Desert 🏜️
Sand 🏖️ + Planet 🪐 = Desert 🏜️
Sand 🏖️ + Lily 🌸 = Dune 🌵
Sand 🏖️ + Island 🏝️ = Desert 🏜️
Sand 🏖️ + Fjord 🏞️ = Beach 🏖️
Sand 🏖️ + Surf 🏄 = Beach 🏖️
Sand 🏖️ + Tea 🍵 = Sandwich 🥪
Sand 🏖️ + Seaweed 🌊 = Beach 🏖️
Sand 🏖️ + Incense 🕯️ = Snake 🐍
Sand 🏖️ + Pollen 🌱 = Dust 🌫️
Sand 🏖️ + Hurricane 🌀 = Sandstorm 🌪️
Sand 🏖️ + Dust Storm 🌪️ = Sandstorm 🌪️
Sand 🏖️ + Mountain Range 🏔️ = Desert 🏜️
Tree 🌳 + Tree 🌳 = Forest 🌲
Tree 🌳 + Planet 🪐 = Earth 🌎
Tree 🌳 + Lily 🌸 = Flower 🌸
Tree 🌳 + Island 🏝️ = Palm 🌴
Tree 🌳 + Fjord 🏞️ = Pine 🌲
Tree 🌳 + Surf 🏄 = Palm 🌴
Tree 🌳 + Tea 🍵 = Teapot 🍵
Tree 🌳 + Seaweed 🌊 = Kelp 🌿
Tree 🌳 + Incense 🕯️ = Poseidon 🌊
Tree 🌳 + Pollen 🌱 = Bee 🐝
Tree 🌳 + Hurricane 🌀 = Palm 🌴
Tree 🌳 + Dust Storm 🌪️ = Tumbleweed 🌵
Tree 🌳 + Mountain Range 🏔️ = Forest 🌲
Planet 🪐 + Planet 🪐 = Star ⭐️
Planet 🪐 + Lily 🌸 = Venus ♀️
Planet 🪐 + Island 🏝️ = Earth 🌎
Planet 🪐 + Fjord 🏞️ = Earth 🌎
Planet 🪐 + Surf 🏄 = Surfing 🏄
Planet 🪐 + Tea 🍵 = Plantea 🌱
Planet 🪐 + Seaweed 🌊 = Earth 🌎
Planet 🪐 + Incense 🕯️ = Venus ♀️
Planet 🪐 + Pollen 🌱 = Bee 🐝
Planet 🪐 + Hurricane 🌀 = Tornado 🌪️
Planet 🪐 + Dust Storm 🌪️ = Mars 🪐
Planet 🪐 + Mountain Range 🏔️ = Moon 🌙
Lily 🌸 + Lily 🌸 = Flower 🌸
Lily 🌸 + Island 🏝️ = Lotus 🌺
Lily 🌸 + Fjord 🏞️ = Nymph 🧚
Lily 🌸 + Surf 🏄 = Surfboard 🏄
Lily 🌸 + Tea 🍵 = Nothing 
Lily 🌸 + Seaweed 🌊 = Mermaid 🧜‍♀️
Lily 🌸 + Incense 🕯️ = Perfume 👃
Lily 🌸 + Pollen 🌱 = Flower 🌸
Lily 🌸 + Hurricane 🌀 = Tornado 🌪️
Lily 🌸 + Dust Storm 🌪️ = Dandelion 🌼
Lily 🌸 + Mountain Range 🏔️ = Himalayas 🏔️
Island 🏝️ + Island 🏝️ = Continent 🌎
Island 🏝️ + Fjord 🏞️ = Iceland 🇮🇸
Island 🏝️ + Surf 🏄 = Surfboard 🏄
Island 🏝️ + Tea 🍵 = Teapot 🍵
Island 🏝️ + Seaweed 🌊 = Sushi 🍣
Island 🏝️ + Incense 🕯️ = Volcano 🌋
Island 🏝️ + Pollen 🌱 = Bee 🐝
Island 🏝️ + Hurricane 🌀 = Tornado 🌪️
Island 🏝️ + Dust Storm 🌪️ = Tornado 🌪️
Island 🏝️ + Mountain Range 🏔️ = Hawaii 🌺
Fjord 🏞️ + Fjord 🏞️ = Glacier ❄️
Fjord 🏞️ + Surf 🏄 = Surf 🏄
Fjord 🏞️ + Tea 🍵 = Nothing 
Fjord 🏞️ + Seaweed 🌊 = Kelp 🌿
Fjord 🏞️ + Incense 🕯️ = Viking 🛡️
Fjord 🏞️ + Pollen 🌱 = Flower 🌸
Fjord 🏞️ + Hurricane 🌀 = Tsunami 🌊
Fjord 🏞️ + Dust Storm 🌪️ = Tornado 🌪️
Fjord 🏞️ + Mountain Range 🏔️ = Norway 🇳🇴
Surf 🏄 + Surf 🏄 = Ocean 🌊
Surf 🏄 + Tea 🍵 = Surfing 🏄
Surf 🏄 + Seaweed 🌊 = Surfer 🏄
Surf 🏄 + Incense 🕯️ = Wave 🌊
Surf 🏄 + Pollen 🌱 = Allergy 🤧
Surf 🏄 + Hurricane 🌀 = Surfer 🏄
Surf 🏄 + Dust Storm 🌪️ = Sand 🏖️
Surf 🏄 + Mountain Range 🏔️ = Beach 🏖️
Tea 🍵 + Tea 🍵 = Tea 🍵
Tea 🍵 + Seaweed 🌊 = Sushi 🍣
Tea 🍵 + Incense 🕯️ = Smoke 💨
Tea 🍵 + Pollen 🌱 = Honey 🍯
Tea 🍵 + Hurricane 🌀 = Teacup 🍵
Tea 🍵 + Dust Storm 🌪️ = Tea Storm 🌪️
Tea 🍵 + Mountain Range 🏔️ = Tea Party 🍵
Seaweed 🌊 + Seaweed 🌊 = Coral 🐠
Seaweed 🌊 + Incense 🕯️ = Sushi 🍣
Seaweed 🌊 + Pollen 🌱 = Kelp 🌿
Seaweed 🌊 + Hurricane 🌀 = Sushi 🍣
Seaweed 🌊 + Dust Storm 🌪️ = Kelp 🌿
Seaweed 🌊 + Mountain Range 🏔️ = Kelp 🌿
Incense 🕯️ + Incense 🕯️ = Perfume 👃
Incense 🕯️ + Pollen 🌱 = Perfume 👃
Incense 🕯️ + Hurricane 🌀 = Smoke 💨
Incense 🕯️ + Dust Storm 🌪️ = Sandalwood 🪨
Incense 🕯️ + Mountain Range 🏔️ = Smoke 💨
Pollen 🌱 + Pollen 🌱 = Flower 🌸
Pollen 🌱 + Hurricane 🌀 = Allergy 🤧
Pollen 🌱 + Dust Storm 🌪️ = Allergy 🤧
Pollen 🌱 + Mountain Range 🏔️ = Hay Fever 🌾
Hurricane 🌀 + Hurricane 🌀 = Tornado 🌪️
Hurricane 🌀 + Dust Storm 🌪️ = Tornado 🌪️
Hurricane 🌀 + Mountain Range 🏔️ = Volcano 🌋
Dust Storm 🌪️ + Dust Storm 🌪️ = Tornado 🌪️
Dust Storm 🌪️ + Mountain Range 🏔️ = Sand Dunes 🏜️
Mountain Range 🏔️ + Mountain Range 🏔️ = Mountain 🏔️
